year,month,day,hour,PAR
2012,1,30,5,0
2012,1,30,6,0.012352361
2012,1,30,7,7.153432307
2012,1,30,8,59.75466393
2012,1,30,9,80.50390086
2012,1,30,10,27.86728657
2012,1,30,11,158.3376076
2012,1,30,12,85.67035593
2012,1,30,13,124.3262063
2012,1,30,14,39.06038025
2012,1,30,15,8.816663928
2012,1,30,16,17.0009152
2012,1,30,17,0.49010608
2012,1,30,18,0
2012,1,30,19,0
2012,1,30,20,0
2012,1,30,21,0
2012,1,30,22,0
2012,1,30,23,0
2012,1,31,0,0
2012,1,31,1,0
2012,1,31,2,0
2012,1,31,3,0
2012,1,31,4,0
2012,1,31,5,0
2012,1,31,6,0.058530041
2012,1,31,7,26.61537861
2012,1,31,8,264.0699646
2012,1,31,9,393.2329011
2012,1,31,10,532.2482579
2012,1,31,11,533.3061132
2012,1,31,12,562.1933357
2012,1,31,13,358.0945889
2012,1,31,14,324.9217118
2012,1,31,15,148.3527478
2012,1,31,16,68.62175939
2012,1,31,17,2.747542357
2012,1,31,18,0
2012,1,31,19,0
2012,1,31,20,0
2012,1,31,21,0
2012,1,31,22,0
2012,1,31,23,0
2012,2,1,0,0
2012,2,1,1,0
2012,2,1,2,0
2012,2,1,3,0
2012,2,1,4,0
2012,2,1,5,0
2012,2,1,6,1.593660792
2012,2,1,7,30.9565742
2012,2,1,8,88.96195541
2012,2,1,9,93.51542134
2012,2,1,10,216.9152106
2012,2,1,11,209.8915478
2012,2,1,12,364.3720148
2012,2,1,13,128.0063061
2012,2,1,14,97.51757708
2012,2,1,15,119.6998805
2012,2,1,16,55.84882062
2012,2,1,17,1.11550316
2012,2,1,18,0.018460624
2012,2,1,19,0
2012,2,1,20,0
2012,2,1,21,0
2012,2,1,22,0
2012,2,1,23,0
2012,2,2,0,0
2012,2,2,1,0
2012,2,2,2,0
2012,2,2,3,0
2012,2,2,4,0
2012,2,2,5,0
2012,2,2,6,1.901882955
2012,2,2,7,33.3118773
