year,month,day,hour,PAR
2012,1,30,1,0
2012,1,30,2,0
2012,1,30,3,0
2012,1,30,4,0
2012,1,30,5,0
2012,1,30,6,0.134032883
2012,1,30,7,8.388826138
2012,1,30,8,57.98408759
2012,1,30,9,232.7227011
2012,1,30,10,262.1193738
2012,1,30,11,209.0262911
2012,1,30,12,223.5466297
2012,1,30,13,149.7057828
2012,1,30,14,46.1223931
2012,1,30,15,45.17691821
2012,1,30,16,13.1468622
2012,1,30,17,1.862526411
2012,1,30,18,0
2012,1,30,19,0
2012,1,30,20,0
2012,1,30,21,0
2012,1,30,22,0
2012,1,30,23,0
2012,1,31,0,0
2012,1,31,1,0
2012,1,31,2,0
2012,1,31,3,0
2012,1,31,4,0
2012,1,31,5,0
2012,1,31,6,0.220215534
2012,1,31,7,46.6465905
2012,1,31,8,298.0040783
2012,1,31,9,587.4885884
2012,1,31,10,804.93166
2012,1,31,11,685.703223
2012,1,31,12,359.2518094
2012,1,31,13,431.6974439
2012,1,31,14,102.1709038
2012,1,31,15,104.3156295
2012,1,31,16,93.70085105
2012,1,31,17,3.560050127
2012,1,31,18,0
2012,1,31,19,0
2012,1,31,20,0
2012,1,31,21,0
2012,1,31,22,0
2012,1,31,23,0
2012,2,1,0,0
2012,2,1,1,0
2012,2,1,2,0
2012,2,1,3,0
2012,2,1,4,0
2012,2,1,5,0
2012,2,1,6,1.438083911
2012,2,1,7,52.67810114
2012,2,1,8,133.4294498
2012,2,1,9,341.762115
2012,2,1,10,307.6955618
2012,2,1,11,233.7180883
2012,2,1,12,296.9212047
2012,2,1,13,201.6810526
2012,2,1,14,275.6248792
2012,2,1,15,87.50836139
2012,2,1,16,45.39199038
2012,2,1,17,4.145112382
2012,2,1,18,0.187813767
2012,2,1,19,0
2012,2,1,20,0
2012,2,1,21,0
2012,2,1,22,0
2012,2,1,23,0
2012,2,2,0,0
2012,2,2,1,0
2012,2,2,2,0
2012,2,2,3,0
2012,2,2,4,0
2012,2,2,5,0
2012,2,2,6,2.404568855
2012,2,2,7,44.54237894
2012,2,2,8,180.972349
2012,2,2,9,241.207187
2012,2,2,10,270.2795632
2012,2,2,11,265.2854222
2012,2,2,12,310.9066356
2012,2,2,13,124.2511673
2012,2,2,14,149.1445935
2012,2,2,15,75.48441666
2012,2,2,16,49.02689985
2012,2,2,17,13.38572719
2012,2,2,18,0.028839329
2012,2,2,19,0
2012,2,2,20,0
2012,2,2,21,0
2012,2,2,22,0
2012,2,2,23,0
2012,2,3,0,0
2012,2,3,1,0
2012,2,3,2,0
2012,2,3,3,0
2012,2,3,4,0
2012,2,3,5,0
2012,2,3,6,3.769123589
2012,2,3,7,53.54221896
2012,2,3,8,250.9910661
2012,2,3,9,208.5127878
2012,2,3,10,177.0048844
2012,2,3,11,404.13505
2012,2,3,12,328.0264687
2012,2,3,13,386.5341221
2012,2,3,14,169.7319477
2012,2,3,15,131.6146488
2012,2,3,16,17.51205099
2012,2,3,17,9.447372959
2012,2,3,18,0.06076323
2012,2,3,19,0
2012,2,3,20,0
2012,2,3,21,0
2012,2,3,22,0
2012,2,3,23,0
2012,2,4,0,0
2012,2,4,1,0
2012,2,4,2,0
2012,2,4,3,0
2012,2,4,4,0
2012,2,4,5,0
2012,2,4,6,0.219023048
2012,2,4,7,11.08832793
2012,2,4,8,191.6409516
2012,2,4,9,233.9652628
2012,2,4,10,143.2265452
2012,2,4,11,255.5933064
2012,2,4,12,381.9025024
2012,2,4,13,316.8380579
2012,2,4,14,118.2208209
2012,2,4,15,78.96091731
2012,2,4,16,34.68903458
2012,2,4,17,5.961224252
2012,2,4,18,0.049404766
2012,2,4,19,0
2012,2,4,20,0
2012,2,4,21,0
2012,2,4,22,0
2012,2,4,23,0
2012,2,5,0,0
2012,2,5,1,0
2012,2,5,2,0
2012,2,5,3,0
2012,2,5,4,0
2012,2,5,5,0
2012,2,5,6,2.376762837
2012,2,5,7,38.93135477
2012,2,5,8,58.88117439
