wselev,depth,crossarea,wettedperimeter,surfacewidth,manningN,meanslope,velocity,discharge,volume,mvelocity,RTvar,RTmean,hR,island,wettedBperimeter,bank
0.89,0.619265291,3.06350537,5.560957198,4.946,0.029228301,0.01158892,2.475125949,7.582561637,30.6350537,2.473418043,1146.847019,8.059753388,0.550895333,1,5.560957198,0
0.9,0.622523933,3.113241942,5.618391071,5,0.029228301,0.01158892,2.484764189,7.735672089,31.13241942,2.483027673,1121.0613,8.016948049,0.554116277,1,5.618391071,0
0.91,0.625575695,3.163536005,5.67782792,5.056,0.029228301,0.011639163,2.499295862,7.906612446,31.63536005,2.497483054,1136.718336,7.989925075,0.557173632,1,5.618391071,0.011073759
0.92,0.628425876,3.214398189,5.739259112,5.114,0.029228301,0.011699892,2.51449002,8.082572166,32.14398189,2.51267634,1108.886065,7.930374461,0.560071975,1,5.618391071,0.02228739
0.93,0.631324022,3.265838929,5.800564435,5.172,0.029228301,0.01175926,2.529702312,8.26160029,32.65838929,2.5278421,1104.136806,7.889517512,0.563020886,1,5.618391071,0.033249565
0.94,0.634028304,3.31786995,5.863856098,5.232,0.029228301,0.011819289,2.544541136,8.442456572,33.1786995,2.542679355,1063.152454,7.822917865,0.565817083,1,5.618391071,0.044334034
0.95,0.636784976,3.370502589,5.927022598,5.292,0.029228301,0.011877958,2.559407114,8.626488305,33.70502589,2.557467446,1071.74195,7.792991531,0.568667073,1,5.618391071,0.055167202
0.96,0.639355712,3.423749545,5.99216783,5.354,0.029228301,0.011937201,2.57390805,8.812416514,34.23749545,2.571952803,1041.972157,7.734616233,0.57137077,1,5.618391071,0.066106443
0.97,0.641746413,3.477623626,6.059284099,5.418,0.029228301,0.011996934,2.588048394,9.000258241,34.77623626,2.586029526,1056.478838,7.710811182,0.573933087,1,5.618391071,0.077136003
0.98,0.644198075,3.532137755,6.126272542,5.482,0.029228301,0.012055271,2.602230731,9.191437412,35.32137755,2.600209385,1023.368685,7.653641736,0.576555765,1,5.618391071,0.08790808
0.99,0.646245145,3.587306785,6.197312665,5.55,0.029228301,0.012115781,2.615665568,9.38319484,35.87306785,2.613599418,1013.118146,7.615894714,0.578848765,1,5.618391071,0.099081247
1,0.648592634,3.643144565,6.266134922,5.616,0.029228301,0.012173111,2.629551337,9.579835663,36.43144565,2.627411166,1015.902534,7.58679693,0.58140219,1,5.618391071,0.109667082
1.01,0.650548224,3.699667599,6.338994838,5.686,0.029228301,0.01223246,2.642702086,9.777119282,36.99667599,2.640520487,1008.594132,7.55003075,0.583636317,1,5.618391071,0.120625989
1.02,0.652351445,3.756891962,6.413798271,5.758,0.029228301,0.012292001,2.655522504,9.976511149,37.56891962,2.653335604,985.9435125,7.501994977,0.585751501,1,5.618391071,0.131620073
1.03,0.654233447,3.814835113,6.488466563,5.83,0.029228301,0.01235007,2.668416457,10.1795688,38.14835113,2.666165392,992.0502782,7.479341888,0.587940937,1,5.618391071,0.142342651
1.04,0.655972225,3.873515773,6.565073191,5.904,0.029228301,0.012408278,2.680995071,10.3848767,38.73515773,2.678733708,972.7708557,7.43473385,0.590018673,1,5.618391071,0.153090601
1.05,0.657354884,3.932954219,6.645677118,5.982,0.029228301,0.012468073,2.692872898,10.59094582,39.32954219,2.69054132,970.9342766,7.409157999,0.591806395,1,5.618391071,0.164131707
