year,month,day,hour,temperature
2012,1,25,3,7.39006737
2012,1,25,4,7.578841493
2012,1,25,5,7.325723775
2012,1,25,6,7.369323042
2012,1,25,7,7.193643413
2012,1,25,8,7.601255731
2012,1,25,9,7.726957415
2012,1,25,10,8.573754546
2012,1,25,11,9.044662785
2012,1,25,12,9.646572282
2012,1,25,13,10.16289041
2012,1,25,14,9.744561556
2012,1,25,15,9.473000707
2012,1,25,16,9.051530871
2012,1,25,17,9.010077291
2012,1,25,18,9.085655265
2012,1,25,19,8.112709994
2012,1,25,20,8.001680874
2012,1,25,21,7.784155619
2012,1,25,22,7.646626866
2012,1,25,23,7.618586009
2012,1,26,0,6.921216705
2012,1,26,1,6.677305603
2012,1,26,2,6.558444971
2012,1,26,3,6.278061522
2012,1,26,4,6.482153847
2012,1,26,5,6.246645567
2012,1,26,6,6.132561726
2012,1,26,7,6.068856032
2012,1,26,8,6.236573414
2012,1,26,9,6.31190342
2012,1,26,10,7.220177558
2012,1,26,11,7.943970087
2012,1,26,12,8.318202207
2012,1,26,13,8.156425775
2012,1,26,14,8.346285653
2012,1,26,15,7.948251665
2012,1,26,16,7.229022083
2012,1,26,17,7.778657365
2012,1,26,18,6.983476161
2012,1,26,19,6.886305708
2012,1,26,20,6.673527046
2012,1,26,21,6.664041793
2012,1,26,22,6.109268822
2012,1,26,23,6.098185983
2012,1,27,0,6.765957926
2012,1,27,1,6.565897942
2012,1,27,2,6.462355607
2012,1,27,3,6.312222476
2012,1,27,4,6.309668743
2012,1,27,5,6.023440492
2012,1,27,6,6.142444391
2012,1,27,7,6.055487109
2012,1,27,8,6.22716684
2012,1,27,9,6.5242673
2012,1,27,10,7.009335081
2012,1,27,11,7.401247242
2012,1,27,12,7.937060586
2012,1,27,13,7.74125174
2012,1,27,14,8.036277875
2012,1,27,15,8.109077135
2012,1,27,16,7.200189652
2012,1,27,17,7.301312162
2012,1,27,18,7.235812959
2012,1,27,19,7.167841489
2012,1,27,20,6.216135547
2012,1,27,21,6.396550103
