day,month,year,no3_mgNpl
2,4,2010,2.54176085
3,4,2010,2.54415546
4,4,2010,2.57066838
5,4,2010,2.56431314
6,4,2010,2.57704114
7,4,2010,2.56724553
8,4,2010,1.93802122
9,4,2010,2.52193892
10,4,2010,2.53941549
11,4,2010,2.50629839
12,4,2010,2.55596612
13,4,2010,2.52835742
14,4,2010,2.54522445
15,4,2010,2.54799229
16,4,2010,2.53993182
17,4,2010,2.53600926
18,4,2010,2.53132389
19,4,2010,2.52576801
20,4,2010,2.52614719
21,4,2010,2.31200736
22,4,2010,2.50496146
23,4,2010,2.50303273
24,4,2010,2.50100348
25,4,2010,1.65844004
26,4,2010,1.71785143
27,4,2010,2.06354404
28,4,2010,2.09796297
29,4,2010,2.21016049
30,4,2010,2.23227931
1,5,2010,2.29721476
2,5,2010,2.29591083
3,5,2010,2.0437837
4,5,2010,2.2797553
5,5,2010,2.29025146
6,5,2010,2.29432356
7,5,2010,2.26881059
8,5,2010,2.27229371
9,5,2010,2.28699267
10,5,2010,2.34635093
11,5,2010,2.07614318
12,5,2010,1.69585278
13,5,2010,2.34689355
14,5,2010,2.28049996
15,5,2010,2.36562435
16,5,2010,2.38646232
17,5,2010,2.37408113
18,5,2010,2.28666656
19,5,2010,2.38795719
20,5,2010,2.39522961
21,5,2010,2.38027688
22,5,2010,2.38563841
23,5,2010,2.3276205
24,5,2010,2.38482789
25,5,2010,2.37710503
26,5,2010,2.3710017
27,5,2010,1.56658927
28,5,2010,2.34560553
29,5,2010,2.36752751
30,5,2010,2.36497958
31,5,2010,2.34051459
1,6,2010,2.34188421
2,6,2010,2.30595682
3,6,2010,2.32066076
4,6,2010,2.28283413
5,6,2010,2.33725233
6,6,2010,2.30995621
7,6,2010,2.27625371
8,6,2010,2.28866644
9,6,2010,2.27525734
10,6,2010,2.29465914
11,6,2010,2.25141928
12,6,2010,2.27257937
13,6,2010,2.04753381
14,6,2010,2.28604286
15,6,2010,1.9979743
16,6,2010,2.31739308
17,6,2010,1.98175574
18,6,2010,1.96990161
19,6,2010,1.77779083
20,6,2010,1.84075888
21,6,2010,1.61480719
22,6,2010,1.7145104
23,6,2010,1.54685363
24,6,2010,1.74904294
25,6,2010,1.51248103
26,6,2010,1.49576351
27,6,2010,1.35578433
28,6,2010,1.56915334
29,6,2010,1.33838839
30,6,2010,1.44048461
1,7,2010,1.1224025
2,7,2010,1.15722883
3,7,2010,1.01331004
4,7,2010,1.05077234
5,7,2010,0.97791132
6,7,2010,1.15916313
7,7,2010,1.05154653
8,7,2010,1.14366681
9,7,2010,1.02384392
10,7,2010,2.3125783
11,7,2010,1.07379266
12,7,2010,1.44807561
13,7,2010,1.69676506
14,7,2010,1.71115704
15,7,2010,2.30166189
16,7,2010,2.23153041
17,7,2010,2.09939642
18,7,2010,2.08954333
19,7,2010,1.94769848
20,7,2010,2.31300848
21,7,2010,2.19255587
22,7,2010,2.28449364
23,7,2010,2.11248913
24,7,2010,2.21010744
25,7,2010,2.3900969
26,7,2010,2.08131786
27,7,2010,2.07099319
28,7,2010,1.92634235
29,7,2010,1.25755363
30,7,2010,2.41912518
31,7,2010,2.38984814
1,8,2010,2.34501321
2,8,2010,2.32957377
3,8,2010,2.26127351
4,8,2010,2.11386431
5,8,2010,2.3022459
6,8,2010,2.31106784
7,8,2010,2.34847968
8,8,2010,1.9810205
9,8,2010,1.94011486
10,8,2010,1.90848866
11,8,2010,2.04079364
12,8,2010,1.21879474
13,8,2010,2.34206749
14,8,2010,2.4437292
15,8,2010,1.78508941
16,8,2010,2.4544832
17,8,2010,2.45890858
18,8,2010,1.61527412
19,8,2010,2.46103086
20,8,2010,2.46780582
21,8,2010,2.46244895
22,8,2010,2.47005669
23,8,2010,2.30968929
24,8,2010,2.46767265
25,8,2010,2.46843916
26,8,2010,2.478305
27,8,2010,2.41510741
28,8,2010,2.37635755
29,8,2010,2.20041303
30,8,2010,2.17707025
31,8,2010,1.99190295
1,9,2010,2.01814056
2,9,2010,1.75180028
3,9,2010,1.76630029
4,9,2010,1.49670659
5,9,2010,1.49013323
6,9,2010,1.26147745
7,9,2010,1.28158013
8,9,2010,1.1468935
9,9,2010,1.16722045
10,9,2010,1.08068976
11,9,2010,1.1297276
12,9,2010,1.58354751
13,9,2010,1.35934105
14,9,2010,1.32505615
15,9,2010,1.1185313
16,9,2010,2.40028302
17,9,2010,1.25336243
18,9,2010,1.15182316
19,9,2010,1.48516505
20,9,2010,1.17290417
21,9,2010,1.17708697
22,9,2010,1.08199169
23,9,2010,1.12278328
24,9,2010,0.99977997
25,9,2010,1.13608827
26,9,2010,2.58519991
27,9,2010,1.49482483
28,9,2010,1.67853325
29,9,2010,2.00224796
30,9,2010,1.18417871
1,10,2010,2.06166885
2,10,2010,2.19818224
3,10,2010,1.95942599
4,10,2010,1.42204605
5,10,2010,2.27217453
6,10,2010,2.27920452
7,10,2010,2.33614527
8,10,2010,2.34844328
9,10,2010,2.3343052
10,10,2010,2.45512111
11,10,2010,2.443785
12,10,2010,2.43100659
13,10,2010,2.40475139
14,10,2010,1.48130876
15,10,2010,2.45361617
16,10,2010,2.51698718
17,10,2010,2.57925275
18,10,2010,2.59900132
19,10,2010,1.6881198
20,10,2010,2.60574826
21,10,2010,2.6258798
22,10,2010,2.65838704
23,10,2010,2.66270827
24,10,2010,2.70025769
25,10,2010,2.69086259
26,10,2010,2.70274983
27,10,2010,1.47323938
28,10,2010,2.62027936
29,10,2010,2.65132996
30,10,2010,2.6325677
31,10,2010,2.71612994
1,11,2010,2.71565914
2,11,2010,2.72739207
3,11,2010,2.72702299
4,11,2010,1.34600161
5,11,2010,2.48684097
6,11,2010,2.54427335
7,11,2010,2.55637798
8,11,2010,2.64151003
9,11,2010,2.64511281
10,11,2010,2.67465725
11,11,2010,2.68504157
12,11,2010,2.69766985
13,11,2010,2.70139484
14,11,2010,2.72969569
15,11,2010,2.73824305
16,11,2010,1.79416824
17,11,2010,1.94342334
18,11,2010,2.65499294
19,11,2010,2.66087037
20,11,2010,2.72668539
21,11,2010,2.74060405
22,11,2010,2.77667334
23,11,2010,2.77557047
24,11,2010,2.8044613
25,11,2010,2.63132092
26,11,2010,2.80260922
27,11,2010,2.82013203
28,11,2010,2.79254826
29,11,2010,2.84280331
30,11,2010,2.27256483
1,12,2010,1.57936421
2,12,2010,2.27268293
3,12,2010,2.56334938
4,12,2010,2.63857092
5,12,2010,2.71235973
6,12,2010,2.73880189
7,12,2010,2.76307442
