"uptake","detritus1c","detritus1n","detritus2c","detritus2n","detritus3c","detritus3n","year","day","month"
0.00018624,173.0491462,4.10391728,353.6221479,8.386266864,225.716294,5.35293521,2008,10,5
0.00018543,173.0491462,4.10392612,353.6221479,8.386284097,225.716294,5.35294718,2008,11,5
0.00018393,173.0491462,4.10393496,353.6221479,8.386302356,225.716294,5.3529586,2008,12,5
0.00018138,173.0491462,4.10394399,353.6221479,8.386319498,225.716294,5.35297027,2008,13,5
0.00017291,173.0491462,4.10395262,353.6221479,8.386336581,225.716294,5.35298168,2008,14,5
0.00016832,173.0491462,4.10396108,353.6221479,8.386356959,225.716294,5.35299308,2008,15,5
0.00017522,173.0491462,4.10397059,353.6221479,8.386373822,225.716294,5.35300448,2008,16,5
0.000167,173.0491462,4.10397904,353.6221479,8.386391468,225.716294,5.35301614,2008,17,5
0.00016627,173.0491462,4.10398758,353.6221479,8.386408978,225.716294,5.35302736,2008,18,5
0.00015983,173.0491462,4.1039967,353.6221479,8.386429238,225.716294,5.35303877,2008,19,5
0.00015145,173.0491462,4.10400526,353.6221479,8.386446397,225.716294,5.35305055,2008,20,5
0.00014801,173.0491462,4.10401428,353.6221479,8.386463117,225.716294,5.35306203,2008,21,5
0.00015384,173.0491462,4.10402244,353.6221479,8.386482039,225.716294,5.35307354,2008,22,5
0.0001569,173.0491462,4.10403215,353.6221479,8.386500301,225.716294,5.35308552,2008,23,5
0.00016681,173.0491462,4.1040405,353.6221479,8.386517953,225.716294,5.35309671,2008,24,5
0.00017025,173.0491462,4.10404942,353.6221479,8.386536455,225.716294,5.35310793,2008,25,5
0.00016253,173.0491462,4.10405836,353.6221479,8.386553347,225.716294,5.35311904,2008,26,5
0.00016288,173.0491462,4.10406711,353.6221479,8.38657199,225.716294,5.35313073,2008,27,5
0.00015253,173.0491462,4.10407556,353.6221479,8.386588975,225.716294,5.3531426,2008,28,5
0.00014332,173.0491462,4.1040842,353.6221479,8.386609131,225.716294,5.35315371,2008,29,5
0.00014185,173.0491462,4.1040942,353.6221479,8.38662618,225.716294,5.35316559,2008,30,5
0.00013748,173.0491462,4.10410233,353.6221479,8.386643545,225.716294,5.35317672,2008,31,5
0.00013795,173.0491462,4.10411108,353.6221479,8.38666223,225.716294,5.35318849,2008,1,6
0.00013706,173.0491462,4.10412011,353.6221479,8.386680209,225.716294,5.35319998,2008,2,6
0.0001337,173.0491462,4.10412896,353.6221479,8.386698335,225.716294,5.35321109,2008,3,6
0.00013305,173.0491462,4.10413759,353.6221479,8.386715226,225.716294,5.35322279,2008,4,6
0.00013345,173.0491462,4.10414576,353.6221479,8.386732841,225.716294,5.35323457,2008,5,6
0.00013799,173.0491462,4.10415556,353.6221479,8.386751337,225.716294,5.35324615,2008,6,6
0.00014685,173.0491462,4.10416401,353.6221479,8.386768226,225.716294,5.35325717,2008,7,6
0.00014482,173.0491462,4.10417255,353.6221479,8.386788812,225.716294,5.35326858,2008,8,6
0.00014161,173.0491462,4.10418186,353.6221479,8.386805703,225.716294,5.35328016,2008,9,6
0.00014291,173.0491462,4.10419051,353.6221479,8.386825005,225.716294,5.35329222,2008,10,6
0.00013724,173.0491462,4.10419973,353.6221479,8.386842613,225.716294,5.35330334,2008,11,6
