year,month,day,hour,PARps
2012,1,21,14,14.5151859
2012,1,21,15,9.38278819
2012,1,21,16,3.71325598
2012,1,21,17,0.17994598
2012,1,21,18,0
2012,1,21,19,0
2012,1,21,20,0
2012,1,21,21,0
2012,1,21,22,0
2012,1,21,23,0
2012,1,22,0,0
2012,1,22,1,0
2012,1,22,2,0
2012,1,22,3,0
2012,1,22,4,0
2012,1,22,5,0
2012,1,22,6,0
2012,1,22,7,0
2012,1,22,8,0
2012,1,22,9,0
2012,1,22,10,0
2012,1,22,11,0
2012,1,22,12,0
2012,1,22,13,0
2012,1,22,14,0
2012,1,22,15,0
2012,1,22,16,0
2012,1,22,17,0
2012,1,22,18,0
2012,1,22,19,0
2012,1,22,20,0
2012,1,22,21,0
2012,1,22,22,0
2012,1,22,23,0
2012,1,23,0,0
2012,1,23,1,0
2012,1,23,2,0
2012,1,23,3,0
2012,1,23,4,0
2012,1,23,5,0
2012,1,23,6,0.01895677
2012,1,23,7,6.78213308
2012,1,23,8,39.4143409
2012,1,23,9,84.2253843
2012,1,23,10,100.295809
2012,1,23,11,100.327041
2012,1,23,12,99.0016399
2012,1,23,13,68.6631146
2012,1,23,14,43.3085444
2012,1,23,15,28.5291189
2012,1,23,16,11.2928216
2012,1,23,17,0.58255852
2012,1,23,18,0
2012,1,23,19,0
2012,1,23,20,0
2012,1,23,21,0
2012,1,23,22,0
2012,1,23,23,0
2012,1,24,0,0
2012,1,24,1,0
2012,1,24,2,0
2012,1,24,3,0
2012,1,24,4,0
2012,1,24,5,0
2012,1,24,6,0.06806286
2012,1,24,7,23.0255683
2012,1,24,8,125.189414
2012,1,24,9,264.219399
2012,1,24,10,316.549586
2012,1,24,11,325.194606
2012,1,24,12,327.689448
2012,1,24,13,220.134023
2012,1,24,14,145.639586
2012,1,24,15,94.8619689
2012,1,24,16,36.8529341
2012,1,24,17,1.7860503
2012,1,24,18,0
2012,1,24,19,0
2012,1,24,20,0
2012,1,24,21,0
2012,1,24,22,0
2012,1,24,23,0
2012,1,25,0,0
2012,1,25,1,0
2012,1,25,2,0
2012,1,25,3,0
2012,1,25,4,0
2012,1,25,5,0
2012,1,25,6,0.03228073
2012,1,25,7,11.1311822
2012,1,25,8,62.2250978
2012,1,25,9,128.849296
2012,1,25,10,152.242989
2012,1,25,11,150.875513
2012,1,25,12,154.397559
2012,1,25,13,111.459467
2012,1,25,14,67.1598529
2012,1,25,15,44.9105515
2012,1,25,16,17.6799473
2012,1,25,17,0.95572165
2012,1,25,18,0
2012,1,25,19,0
2012,1,25,20,0
2012,1,25,21,0
2012,1,25,22,0
2012,1,25,23,0
2012,1,26,0,0
2012,1,26,1,0
2012,1,26,2,0
2012,1,26,3,0
2012,1,26,4,0
2012,1,26,5,0
2012,1,26,6,0.02161404
2012,1,26,7,7.11821164
