year,month,day,hour,temp
2012,1,15,3,6.07331145
2012,1,15,4,6.01390103
2012,1,15,5,5.90350661
2012,1,15,6,5.84805554
2012,1,15,7,5.85317326
2012,1,15,8,5.94820458
2012,1,15,9,6.19763118
2012,1,15,10,6.84083216
2012,1,15,11,7.31542821
2012,1,15,12,7.74255926
2012,1,15,13,7.94581829
2012,1,15,14,7.7976186
2012,1,15,15,7.57739166
2012,1,15,16,7.26462706
2012,1,15,17,7.02303902
2012,1,15,18,6.76201146
2012,1,15,19,6.58684182
2012,1,15,20,6.45015023
2012,1,15,21,6.2528547
2012,1,15,22,6.12888143
2012,1,15,23,6.03924994
2012,1,16,0,6.75754003
2012,1,16,1,6.550642
2012,1,16,2,6.42467053
2012,1,16,3,6.28433736
2012,1,16,4,6.21447916
2012,1,16,5,6.13821746
2012,1,16,6,6.0557162
2012,1,16,7,6.05922424
2012,1,16,8,6.15263118
2012,1,16,9,6.41691754
2012,1,16,10,7.06446752
2012,1,16,11,7.56317625
2012,1,16,12,8.00722421
2012,1,16,13,8.2452985
2012,1,16,14,8.07084709
2012,1,16,15,7.88550145
2012,1,16,16,7.57537448
2012,1,16,17,7.26643877
2012,1,16,18,7.0135151
2012,1,16,19,6.82058702
2012,1,16,20,6.67057298
2012,1,16,21,6.46492184
2012,1,16,22,6.36578817
2012,1,16,23,6.25405473
2012,1,17,0,9.32667544
2012,1,17,1,9.03727661
2012,1,17,2,8.85485388
2012,1,17,3,8.6754708
2012,1,17,4,8.58723806
2012,1,17,5,8.45166278
2012,1,17,6,8.37166038
2012,1,17,7,8.35546979
2012,1,17,8,8.49054677
2012,1,17,9,8.84727285
2012,1,17,10,9.76953427
2012,1,17,11,10.4474599
2012,1,17,12,11.0400017
2012,1,17,13,11.3881888
2012,1,17,14,11.1752035
2012,1,17,15,10.8292629
2012,1,17,16,10.4448639
2012,1,17,17,10.0364932
2012,1,17,18,9.66360284
2012,1,17,19,9.39178081
2012,1,17,20,9.22180747
2012,1,17,21,8.91819877
2012,1,17,22,8.77593745
2012,1,17,23,8.64024371
2012,1,18,0,9.5997608
2012,1,18,1,9.30089025
2012,1,18,2,9.11331258
2012,1,18,3,8.93174758
2012,1,18,4,8.85096646
2012,1,18,5,8.68978025
2012,1,18,6,8.59393138
2012,1,18,7,8.59925604
2012,1,18,8,8.73940867
2012,1,18,9,9.11986751
2012,1,18,10,10.010616
2012,1,18,11,10.7612697
2012,1,18,12,11.333042
2012,1,18,13,11.6813099
2012,1,18,14,11.4750227
2012,1,18,15,11.1661345
