year,month,day,hour,PAR,temperature
2012,1,21,16,2.89009046,11.26250739
2012,1,21,17,0.06976142,11.08509141
2012,1,21,18,0,10.11117159
2012,1,21,19,0,10.13515878
2012,1,21,20,0,9.850323499
2012,1,21,21,0,9.179254295
2012,1,21,22,0,9.872124668
2012,1,21,23,0,9.127229252
2012,1,22,0,0,7.14064145
2012,1,22,1,0,6.918030233
2012,1,22,2,0,6.783212977
2012,1,22,3,0,6.623725724
2012,1,22,4,0,6.533809747
2012,1,22,5,0,6.354292791
2012,1,22,6,0,6.352289741
2012,1,22,7,0,6.602060398
2012,1,22,8,0,6.453313311
2012,1,22,9,0,6.711798462
2012,1,22,10,0,7.280846941
2012,1,22,11,0,7.653913624
2012,1,22,12,0,8.187270395
2012,1,22,13,0,8.395977056
2012,1,22,14,0,8.765258856
2012,1,22,15,0,8.596589127
2012,1,22,16,0,8.152863095
2012,1,22,17,0,7.760168993
2012,1,22,18,0,7.24926344
2012,1,22,19,0,7.328419652
2012,1,22,20,0,7.055732857
2012,1,22,21,0,6.763862134
2012,1,22,22,0,6.802362757
2012,1,22,23,0,6.491108105
2012,1,23,0,0,7.438433035
2012,1,23,1,0,7.243595522
2012,1,23,2,0,7.112629699
2012,1,23,3,0,6.874952758
2012,1,23,4,0,6.78284805
2012,1,23,5,0,6.64898326
2012,1,23,6,0.011368651,6.48999126
2012,1,23,7,6.05032582,6.733880769
2012,1,23,8,43.02198172,6.840936213
2012,1,23,9,91.62322,7.163691011
2012,1,23,10,47.5492812,7.641318765
2012,1,23,11,75.63849453,8.175135986
2012,1,23,12,119.4190841,8.929505835
2012,1,23,13,60.92059897,8.889214929
2012,1,23,14,55.32908181,8.633599681
2012,1,23,15,27.04180914,8.706252622
2012,1,23,16,19.42835495,8.168378171
2012,1,23,17,1.204645455,7.70951806
2012,1,23,18,0,8.001090214
2012,1,23,19,0,7.566708698
2012,1,23,20,0,7.737970687
2012,1,23,21,0,6.92695087
2012,1,23,22,0,6.693944366
2012,1,23,23,0,6.824490115
2012,1,24,0,0,7.970263967
2012,1,24,1,0,7.689509978
2012,1,24,2,0,7.535077777
2012,1,24,3,0,7.449437223
2012,1,24,4,0,7.257557893
2012,1,24,5,0,7.175579715
2012,1,24,6,0.075389315,7.124606395
2012,1,24,7,18.20557716,7.221401314
2012,1,24,8,139.0074125,7.445481316
2012,1,24,9,345.4036002,7.580822039
2012,1,24,10,304.3993297,8.256309756
2012,1,24,11,325.7378765,8.80986183
2012,1,24,12,141.0689961,9.229146369
2012,1,24,13,312.2909879,9.783727472
2012,1,24,14,149.4079554,9.237202133
2012,1,24,15,117.6068717,9.40989038
2012,1,24,16,77.06439989,9.057110515
2012,1,24,17,0.188053776,8.433161933
2012,1,24,18,0,8.56744615
2012,1,24,19,0,7.898395057
2012,1,24,20,0,7.748217541
2012,1,24,21,0,7.410193668
2012,1,24,22,0,7.536727684
2012,1,24,23,0,7.727221086
2012,1,25,0,0,8.204460356
2012,1,25,1,0,7.967101757
2012,1,25,2,0,7.788128716
2012,1,25,3,0,7.39006737
2012,1,25,4,0,7.578841493
2012,1,25,5,0,7.325723775
2012,1,25,6,0.029300151,7.369323042
2012,1,25,7,11.54113202,7.193643413
2012,1,25,8,52.7018675,7.601255731
2012,1,25,9,88.07804067,7.726957415
2012,1,25,10,125.0526697,8.573754546
2012,1,25,11,126.6104558,9.044662785
2012,1,25,12,245.4854073,9.646572282
2012,1,25,13,94.59719066,10.16289041
2012,1,25,14,68.51789517,9.744561556
2012,1,25,15,51.14636791,9.473000707
2012,1,25,16,12.84550604,9.051530871
2012,1,25,17,1.679730933,9.010077291
2012,1,25,18,0,9.085655265
2012,1,25,19,0,8.112709994
2012,1,25,20,0,8.001680874
2012,1,25,21,0,7.784155619
2012,1,25,22,0,7.646626866
2012,1,25,23,0,7.618586009
2012,1,26,0,0,6.921216705
2012,1,26,1,0,6.677305603
2012,1,26,2,0,6.558444971
2012,1,26,3,0,6.278061522
2012,1,26,4,0,6.482153847
2012,1,26,5,0,6.246645567
2012,1,26,6,0.029144724,6.132561726
2012,1,26,7,5.614080064,6.068856032
2012,1,26,8,25.80387459,6.236573414
2012,1,26,9,68.80254135,6.31190342
2012,1,26,10,119.0842704,7.220177558
2012,1,26,11,101.4298259,7.943970087
2012,1,26,12,114.6573201,8.318202207
2012,1,26,13,76.79655929,8.156425775
2012,1,26,14,63.28980546,8.346285653
