patch,drain,uaa,dist,accDist,restored,zoneID,zoneClass,lateralInput,laterFrac,,
872,1,69268,4.714045208,747.5567576,1,83,1,182,6.73252E-05,,
870,8,69277,3.333333333,750.890091,1,83,1,9,6.73252E-05,,
1579,8,69280,3.333333333,754.2234243,1,84,2,3,6.73252E-05,,
1580,8,69281,3.333333333,757.5567576,1,85,1,1,6.73252E-05,,
1581,8,69290,3.333333333,760.890091,1,85,1,9,6.73252E-05,,
3514,7,69291,4.714045208,765.6041362,1,85,1,1,6.73252E-05,,
3518,8,69301,3.333333333,768.9374695,1,86,2,10,6.73252E-05,,
3519,8,69305,3.333333333,772.2708028,1,86,2,4,6.73252E-05,,
477,8,68291,3.333333333,775.6041362,1,87,1,15,6.73252E-05,,
484,8,68300,3.333333333,778.9374695,1,87,1,9,6.73252E-05,,
485,7,68321,4.714045208,783.6515147,1,87,1,21,6.73252E-05,,
3252,8,68335,3.333333333,786.9848481,1,88,2,14,6.73252E-05,,
3169,8,68349,3.333333333,790.3181814,1,89,1,14,6.73252E-05,,
3170,8,68362,3.333333333,793.6515147,1,89,1,13,6.73252E-05,,
3171,8,68413,3.333333333,796.9848481,1,89,1,51,6.73252E-05,,
559,8,68444,3.333333333,800.3181814,1,90,2,31,6.73252E-05,,
560,7,68451,4.714045208,805.0322266,1,91,1,7,6.73252E-05,,
564,8,68463,3.333333333,808.3655599,1,91,1,12,6.73252E-05,,
3550,8,68490,3.333333333,811.6988933,1,91,1,27,6.73252E-05,,
3551,7,68496,4.714045208,816.4129385,1,92,2,6,6.73252E-05,,
3555,8,68536,3.333333333,819.7462718,1,93,1,40,6.73252E-05,,
2896,8,68546,3.333333333,823.0796051,1,93,1,10,6.73252E-05,,
2897,8,68565,3.333333333,826.4129385,1,93,1,19,6.73252E-05,,
2898,7,68572,4.714045208,831.1269837,1,94,2,7,6.73252E-05,,
3061,1,68588,4.714045208,835.8410289,1,95,1,16,6.73252E-05,,
494,8,68599,3.333333333,839.1743622,1,95,1,11,6.73252E-05,,
495,8,68631,3.333333333,842.5076956,1,95,1,32,6.73252E-05,,
502,7,68676,4.714045208,847.2217408,1,96,2,45,6.73252E-05,,
3278,8,68708,3.333333333,850.5550741,1,97,1,32,6.73252E-05,,
3279,8,68720,3.333333333,853.8884074,1,97,1,12,6.73252E-05,,
3070,8,68728,3.333333333,857.2217408,1,97,1,8,6.73252E-05,,
3071,1,68761,4.714045208,861.935786,1,98,2,33,6.73252E-05,,
513,8,68766,3.333333333,865.2691193,1,99,1,5,6.73252E-05,,
1294,8,68782,3.333333333,868.6024526,1,99,1,16,6.73252E-05,,
1295,8,68815,3.333333333,871.935786,1,99,1,33,6.73252E-05,,
1296,1,68832,4.714045208,876.6498312,1,100,2,17,6.73252E-05,,
2191,8,68851,3.333333333,879.9831645,1,101,1,19,6.73252E-05,,
2192,1,68854,4.714045208,884.6972097,1,101,1,3,6.73252E-05,,
2190,1,68911,4.714045208,889.4112549,1,101,1,57,6.73252E-05,,
1285,2,68914,3.333333333,892.7445883,1,102,2,3,6.73252E-05,,
1282,1,68957,4.714045208,897.4586335,1,103,1,43,6.73252E-05,,
1280,1,68972,4.714045208,902.1726787,1,103,1,15,6.73252E-05,,
1512,1,68992,4.714045208,906.8867239,1,103,1,20,6.73252E-05,,
1273,1,69007,4.714045208,911.6007691,1,104,2,15,6.73252E-05,,
1271,8,69030,3.333333333,914.9341024,1,105,1,23,6.73252E-05,,
1272,1,69033,4.714045208,919.6481476,1,105,1,3,6.73252E-05,,
385,1,69041,4.714045208,924.3621928,1,105,1,8,6.73252E-05,,
383,8,69052,3.333333333,927.6955262,1,106,2,11,6.73252E-05,,
384,8,69060,3.333333333,931.0288595,1,107,1,8,6.73252E-05,,
1606,1,69063,4.714045208,935.7429047,1,107,1,3,6.73252E-05,,
1604,1,69072,4.714045208,940.4569499,1,107,1,9,6.73252E-05,,
1269,8,69081,3.333333333,943.7902833,1,108,2,9,6.73252E-05,,
871,8,69086,3.333333333,947.1236166,1,109,1,5,6.73252E-05,,
872,1,69268,4.714045208,951.8376618,1,109,1,182,6.73252E-05,,
870,8,69277,3.333333333,955.1709951,1,109,1,9,6.73252E-05,,
1579,8,69280,3.333333333,958.5043285,1,110,2,3,6.73252E-05,,
1580,8,69281,3.333333333,961.8376618,1,111,1,1,6.73252E-05,,
1581,8,69290,3.333333333,965.1709951,1,111,1,9,6.73252E-05,,
